Cases,Date
3456652,2020-08-19T00:00:00Z
3501975,2020-08-20T00:00:00Z
3532330,2020-08-21T00:00:00Z
3582362,2020-08-22T00:00:00Z
3605783,2020-08-23T00:00:00Z
3622861,2020-08-24T00:00:00Z
3669995,2020-08-25T00:00:00Z
3717156,2020-08-26T00:00:00Z
3761391,2020-08-27T00:00:00Z
3804803,2020-08-28T00:00:00Z
3846153,2020-08-29T00:00:00Z
3862311,2020-08-30T00:00:00Z
3908272,2020-08-31T00:00:00Z
3950931,2020-09-01T00:00:00Z
3997865,2020-09-02T00:00:00Z
4041638,2020-09-03T00:00:00Z
4091801,2020-09-04T00:00:00Z
4123000,2020-09-05T00:00:00Z
4137521,2020-09-06T00:00:00Z
4147794,2020-09-07T00:00:00Z
4162073,2020-09-08T00:00:00Z
4197889,2020-09-09T00:00:00Z
4238446,2020-09-10T00:00:00Z
4282164,2020-09-11T00:00:00Z
4315687,2020-09-12T00:00:00Z
4330455,2020-09-13T00:00:00Z
4345610,2020-09-14T00:00:00Z
4382263,2020-09-15T00:00:00Z
4419083,2020-09-16T00:00:00Z
4455386,2020-09-17T00:00:00Z
4495183,2020-09-18T00:00:00Z
4528240,2020-09-19T00:00:00Z
4544629,2020-09-20T00:00:00Z
4558040,2020-09-21T00:00:00Z
4591364,2020-09-22T00:00:00Z
4591364,2020-09-23T00:00:00Z
4657702,2020-09-24T00:00:00Z
4689613,2020-09-25T00:00:00Z
4717991,2020-09-26T00:00:00Z
4732309,2020-09-27T00:00:00Z
4745464,2020-09-28T00:00:00Z
4777522,2020-09-29T00:00:00Z
4810935,2020-09-30T00:00:00Z
4847092,2020-10-01T00:00:00Z
4847092,2020-10-02T00:00:00Z
4906833,2020-10-03T00:00:00Z
4915289,2020-10-04T00:00:00Z
4927235,2020-10-05T00:00:00Z
4969141,2020-10-06T00:00:00Z
5000694,2020-10-07T00:00:00Z
5028444,2020-10-08T00:00:00Z
5055888,2020-10-09T00:00:00Z
5082637,2020-10-10T00:00:00Z
5094979,2020-10-11T00:00:00Z
5103408,2020-10-12T00:00:00Z
5113628,2020-10-13T00:00:00Z
5140863,2020-10-14T00:00:00Z
5169386,2020-10-15T00:00:00Z
5200300,2020-10-16T00:00:00Z
5224362,2020-10-17T00:00:00Z
5224362,2020-10-18T00:00:00Z
5250727,2020-10-19T00:00:00Z
5273954,2020-10-20T00:00:00Z
